Wall time,Step,Value
1638264459.3196578,42,0.46875
1638264460.282707,167,0.4453125
1638264460.692376,229,0.5703125
1638264462.456641,474,0.46875
1638264462.8685915,536,0.5546875
1638264463.195335,579,0.546875
1638264463.2271123,586,0.5234375
1638264463.5777104,634,0.5078125
1638264463.637579,647,0.484375
1638264464.2020898,714,0.4140625
1638264464.8774052,808,0.484375
1638264466.2571318,1014,0.5234375
1638264468.410869,1333,0.5078125
1638264468.780482,1385,0.5546875
1638264468.8127651,1392,0.4921875
1638264469.1447084,1436,0.5625
1638264471.243752,1734,0.53125
1638264471.257058,1737,0.6015625
1638264472.275434,1877,0.5546875
1638264472.5977116,1917,0.4921875
1638264473.3625877,2036,0.4453125
1638264475.2818608,2307,0.484375
1638264475.7749763,2389,0.5
1638264476.4689095,2485,0.5390625
1638264476.4735463,2486,0.5
1638264477.897248,2685,0.484375
1638264480.42132,3038,0.5703125
1638264481.8310199,3230,0.3984375
1638264481.901461,3246,0.4453125
1638264482.427554,3305,0.5390625
1638264484.6120903,3618,0.4609375
1638264484.620975,3620,0.5078125
1638264484.974028,3670,0.5546875
1638264486.0539818,3821,0.4921875
1638264487.0319579,3956,0.5703125
1638264489.453261,4317,0.53125
1638264489.9138129,4400,0.5546875
1638264490.5484204,4492,0.53125
1638264490.7508764,4509,0.453125
1638264491.8877895,4676,0.546875
1638264493.8634195,4971,0.4453125
1638264494.9164822,5134,0.4375
1638264496.2942502,5345,0.5078125
1638264496.4825275,5359,0.4765625
1638264498.914815,5723,0.515625
1638264499.9342566,5864,0.53125
1638264500.2560303,5907,0.5546875
1638264500.7541244,5990,0.53125
1638264502.2154393,6200,0.5234375
1638264502.4355192,6219,0.53125
1638264505.7258146,6699,0.515625
1638264505.9102879,6711,0.53125
1638264506.9426436,6854,0.5390625
1638264507.7036574,6966,0.546875
1638264509.0795162,7155,0.484375
1638264511.2273338,7460,0.4921875
1638264511.2408392,7463,0.5234375
1638264513.5338616,7798,0.484375
1638264513.8163269,7833,0.5703125
1638264515.5096092,8066,0.5
1638264516.2788012,8180,0.5234375
1638264516.5915563,8221,0.53125
1638264518.4760516,8498,0.53125
1638264518.6526165,8508,0.5546875
1638264519.3292077,8601,0.5625
1638264521.2416158,8878,0.5
