Wall time,Step,Value
1638196295,42,0.515625
1638196296,167,0.46875
1638196296,229,0.546875
1638196298,474,0.546875
1638196298,536,0.546875
1638196299,579,0.578125
1638196299,586,0.4765625
1638196299,647,0.5546875
1638196300,808,0.515625
1638196302,1014,0.5078125
1638196304,1333,0.53125
1638196304,1385,0.5
1638196305,1436,0.4765625
1638196307,1734,0.515625
1638196307,1737,0.5625
1638196308,1877,0.5078125
1638196311,2307,0.484375
1638196311,2389,0.5546875
1638196312,2485,0.4296875
1638196312,2486,0.5078125
1638196313,2685,0.515625
1638196317,3230,0.4921875
1638196317,3246,0.53125
1638196318,3305,0.5625
1638196320,3618,0.53125
1638196320,3620,0.5625
1638196325,4317,0.5078125
1638196325,4400,0.578125
1638196326,4492,0.609375
1638196326,4509,0.4921875
1638196329,4971,0.5625
1638196330,5134,0.5625
1638196331,5345,0.5078125
1638196334,5723,0.5234375
1638196335,5907,0.5546875
1638196336,5990,0.5625
1638196337,6200,0.4921875
1638196341,6699,0.6640625
1638196341,6711,0.640625
1638196342,6854,0.515625
1638196343,6966,0.59375
1638196344,7155,0.5546875
1638196346,7460,0.578125
1638196346,7463,0.6484375
1638196348,7798,0.609375
1638196348,7833,0.6171875
1638196350,8066,0.6328125
1638196351,8180,0.5859375
1638196351,8221,0.609375
1638196353,8498,0.640625
1638196353,8508,0.6015625
1638196356,8878,0.6171875
1638196356,8935,0.65625
1638196358,9260,0.6484375
1638196360,9468,0.640625
1638196361,9554,0.6171875
1638196362,9698,0.5703125
1638196367,10399,0.6328125
1638196367,10479,0.59375
1638196368,10522,0.609375
1638196370,10905,0.5703125
1638196371,10966,0.5703125
1638196371,11020,0.5546875
1638196375,11532,0.640625
1638196375,11566,0.640625
1638196378,11969,0.6015625
1638196378,11974,0.59375
1638196379,12164,0.6171875
1638196380,12290,0.6328125
1638196384,12877,0.6484375
1638196385,13034,0.6640625
1638196385,13061,0.578125
1638196389,13620,0.546875
1638196393,14294,0.6484375
1638196396,14668,0.65625
1638196397,14779,0.578125
1638196397,14873,0.609375
1638196402,15473,0.640625
1638196404,15764,0.578125
1638196406,16116,0.59375
1638196412,16857,0.640625
1638196413,17066,0.7578125
1638196413,17097,0.7734375
1638196415,17317,0.9765625
1638196415,17339,0.9609375
1638196416,17543,0.9921875
1638196416,17557,0.9921875
1638196422,18451,1
1638196430,19531,1
1638196430,19640,1
1638196431,19731,1
1638196433,19995,1
1638196433,20053,1
1638196433,20062,1
1638196435,20244,1
1638196435,20323,1
1638196436,20440,1
1638196437,20539,1
1638196437,20578,1
1638196438,20779,1
1638196438,20782,1
1638196439,20855,1
1638196440,21080,1
1638196441,21144,1
1638196441,21232,1
1638196442,21319,0.984375
1638196445,21848,1
1638196448,22245,1
1638196449,22330,1
1638196449,22358,1
1638196454,23138,1
1638196454,23148,1
1638196455,23286,1
1638196456,23361,1
1638196456,23427,0.9921875
1638196457,23540,1
1638196458,23670,1
1638196458,23701,1
1638196461,24147,1
1638196462,24282,1
1638196462,24284,1
1638196463,24322,1
1638196465,24621,1
1638196465,24727,1
1638196467,24934,1
1638196469,25253,0.9921875
1638196470,25391,1
1638196473,25812,1
1638196473,25847,1
1638196474,25921,1
1638196477,26303,1
1638196480,26797,1
1638196480,26798,1
1638196483,27154,1
1638196485,27505,1
1638196486,27603,1
1638196486,27638,1
1638196487,27825,1
1638196488,27916,1
1638196491,28438,1
1638196492,28543,1
1638196495,28970,1
1638196495,28996,1
1638196496,29062,1
1638196497,29201,1
1638196497,29263,1
1638196499,29471,1
1638196501,29829,1
1638196502,30005,0.8828125
1638196502,30031,0.9765625
1638196503,30174,1
1638196504,30327,1
1638196505,30470,1
1638196506,30612,1
1638196507,30706,1
1638196507,30720,1
1638196512,31406,0.9609375
1638196512,31443,0.984375
1638196515,31880,1
1638196516,31936,1
1638196518,32207,0.96875
1638196519,32435,0.9921875
1638196520,32542,1
1638196521,32657,1
1638196522,32762,1
1638196522,32894,1
1638196522,32902,1
1638196523,33034,1
1638196524,33181,1
1638196526,33375,1
1638196526,33403,1
1638196528,33737,1
1638196528,33749,1
1638196529,33785,1
1638196529,33839,1
1638196529,33876,1
1638196530,33913,1
1638196530,34036,1
1638196533,34362,1
1638196534,34525,1
1638196534,34599,1
1638196539,35333,1
1638196540,35354,1
1638196540,35483,1
1638196543,35771,1
1638196544,35953,1
1638196544,36037,1
1638196549,36629,1
1638196549,36659,1
1638196550,36767,1
1638196550,36850,1
1638196553,37202,1
1638196555,37489,1
1638196557,37764,1
1638196557,37876,1
1638196562,38455,1
1638196563,38720,1
1638196564,38840,1
1638196565,38981,1
1638196567,39296,1
1638196570,39702,1
1638196572,39909,1
1638196572,40020,1
1638196574,40296,1
1638196576,40500,1
1638196577,40667,1
1638196577,40720,1
1638196578,40793,1
1638196579,41040,1
1638196581,41271,1
1638196583,41539,1
1638196587,42134,1
1638196589,42450,1
1638196589,42468,1
1638196591,42678,1
1638196596,43518,1
1638196597,43639,1
1638196598,43711,1
1638196598,43738,1
1638196598,43742,1
1638196598,43805,1
1638196599,43993,1
1638196600,44073,1
1638196601,44200,1
1638196601,44207,1
1638196601,44251,1
1638196602,44304,1
1638196605,44816,1
1638196606,44964,1
1638196609,45372,1
1638196610,45507,1
